m,0,1,2,3,4,5,6,7,8,9
m,9,11,8,14,7,6,6,11,7,9
1,1,1,1,1,1,1,1,1,1,1
3.92,1.4,1.2,1.24,0.92,1.08,1.32,1.04,1.44,1.08,1.28
1.707046,-0.052456,-0.312715,-0.290274,-0.296206,-0.20938,-0.189269,-0.290966,-0.159664,-0.373434,-0.161426
11.6016,1.707107,1.708656,1.705605,1.704148,1.712016,1.707107,1.705605,1.705635,1.707107,1.702646
2.490568,5.24,5.32,4.6,4.28,4.16,5.12,4.16,5.2,4.56,4.48
22.888,0.370113,0.211052,-0.023642,0.324938,0.171951,0.166961,0.079914,0.125236,-0.021434,0.075095
3.287964,2.494416,2.492551,2.488937,2.490712,2.496634,2.492512,2.490712,2.487259,2.490712,2.487188
37.624,10.12,11.16,9.96,9.24,8.92,10.36,8.88,10.52,9.64,8.56
4.090968,0.182207,0.17128,0.058248,0.317489,0.242565,0.09951,0.113897,0.066864,-0.037861,-0.055493
55.656,3.29279,3.289864,3.286348,3.283252,3.292559,3.291395,3.285689,3.287064,3.290094,3.287579
4.896685,16,18,16.64,15.88,14.48,17.16,14.92,17.92,15.72,14.52
76.832,0.087407,0.061453,0.009368,0.336726,0.14165,0.095474,0.092942,0.115864,-0.129618,0.044014
5.703878,4.093682,4.094532,4.087495,4.081549,4.102718,4.093585,4.0854,4.087809,4.089687,4.086762
101.0016,23.16,25.8,25.08,23.36,21.16,24.92,22.32,26.24,23.32,21.68
6.511918,0.078126,-0.019608,0.053395,0.225301,0.15357,0.012272,0.090524,0.02432,-0.108785,0.026428
128.016,4.89621,4.904163,4.890165,4.888022,4.915319,4.897864,4.892269,4.89059,4.887378,4.891906
7.320442,31.52,35.8,34.52,31.88,28.52,33.76,30.24,36.68,31.76,29.88
157.728,0.082534,0.060221,-0.000178,0.193727,0.082292,-0.025745,0.010505,0.084064,-0.157305,0.000394
8.129218,5.700359,5.7103,5.695756,5.699614,5.729326,5.702941,5.6954,5.695785,5.693128,5.701802
189.992,40.8,47.44,45.6,40.96,36.8,43.6,38.8,48.36,42.32,38.68
8.938082,0.072612,0.083194,0.037741,0.107838,0.062192,-0.064212,-0.043454,0.068348,-0.079097,-0.073119
224.664,6.509358,6.508048,6.504045,6.513396,6.539279,6.511009,6.502259,6.500467,6.502436,6.51387
9.746914,50.4,59.8,57.36,50.96,45.44,55.44,48.8,62.08,54.36,49.12
