m,0,1,2,3,4,5,6,7,8,9
m,5,6,3,7,5,7,9,5,11,8
1,1,1,1,1,1,1,1,1,1,1
3.92,0.114286,0.065714,0.06,0.348571,0.071429,0.142857,0.188571,0.134286,0.257143,0.117143
1.707046,-0.802504,-0.878523,-0.888154,-0.577097,-0.870008,-0.767996,-0.732998,-0.778903,-0.654934,-0.806217
11.6016,1.707649,1.706781,1.706671,1.707324,1.706781,1.706667,1.707324,1.707761,1.70656,1.706889
2.490568,0.485714,0.268571,0.268571,1.297143,0.3,0.582857,0.765714,0.551429,0.994286,0.488571
22.888,-0.677824,-0.813545,-0.804759,-0.419099,-0.785667,-0.634434,-0.581586,-0.64692,-0.50776,-0.680751
3.287964,2.489816,2.489361,2.49039,2.491929,2.489812,2.491692,2.489494,2.490583,2.490127,2.49026
37.624,0.971429,0.582857,0.522857,2.565714,0.557143,1.077143,1.482857,0.994286,2.048571,0.931429
4.090968,-0.715985,-0.799443,-0.836978,-0.469859,-0.836272,-0.709603,-0.643604,-0.748998,-0.516785,-0.742427
55.656,3.286773,3.286565,3.289437,3.289112,3.287776,3.291057,3.286996,3.287457,3.288475,3.288156
4.896685,1.594286,0.94,0.84,4.385714,0.88,1.751429,2.594286,1.617143,3.417143,1.548571
76.832,-0.719401,-0.827341,-0.846474,-0.428887,-0.840179,-0.698124,-0.577254,-0.72882,-0.525181,-0.725397
5.703878,4.090379,4.090768,4.092947,4.091037,4.091272,4.094336,4.088996,4.091021,4.091965,4.091565
101.0016,2.302857,1.411429,1.254286,6.522857,1.288571,2.668571,3.874286,2.38,5.06,2.26
6.511918,-0.74029,-0.812659,-0.837586,-0.450936,-0.836178,-0.672428,-0.606379,-0.728729,-0.537443,-0.740692
128.016,4.896652,4.898433,4.89726,4.894,4.897755,4.899296,4.894594,4.896429,4.898619,4.89704
7.320442,3.114286,1.917143,1.774286,9.002857,1.7,3.671429,5.542857,3.16,7.008571,3.148571
157.728,-0.744252,-0.828918,-0.826413,-0.450152,-0.860337,-0.691797,-0.5541,-0.763742,-0.523068,-0.721372
8.129218,5.704183,5.706426,5.703563,5.700295,5.705253,5.704776,5.702367,5.703352,5.706316,5.704536
189.992,3.997143,2.431429,2.368571,11.737143,2.217143,4.782857,7.26,4.077143,9.26,4.091429
8.938082,-0.758976,-0.848416,-0.824549,-0.474643,-0.844204,-0.700841,-0.60606,-0.757195,-0.518177,-0.74454
224.664,6.513207,6.514939,6.510745,6.508639,6.514419,6.512802,6.510949,6.512315,6.514021,6.513195
9.746914,4.971429,3.045714,2.977143,14.717143,2.765714,6.08,9.334286,5.077143,11.74,5.1
261.6016,-0.761614,-0.839045,-0.840898,-0.487395,-0.854609,-0.685449,-0.568064,-0.762876,-0.528094,-0.750238
10.555613,7.321927,7.322654,7.31756,7.318066,7.32282,7.322686,7.319486,7.322276,7.320687,7.321695
300.664,6.16,3.682857,3.645714,18.128571,3.345714,7.417143,11.645714,6.157143,14.514286,6.234286
11.364092,-0.736985,-0.846006,-0.841025,-0.466994,-0.859971,-0.709386,-0.566991,-0.76789,-0.510484,-0.747674
341.712,8.130651,8.130347,8.124252,8.128826,8.12979,8.134253,8.130046,8.13052,8.128666,8.129182
12.17227,7.391429,4.374286,4.368571,21.825714,4.1,8.971429,14.242857,7.374286,17.448571,7.422857
384.608,-0.748935,-0.84639,-0.840948,-0.470018,-0.831812,-0.685201,-0.544674,-0.76084,-0.52698,-0.75944
12.980071,8.940614,8.937782,8.929826,8.93905,8.938116,8.94544,8.941244,8.938677,8.938587,8.93766
429.216,8.657143,5.128571,5.105714,25.834286,4.845714,10.605714,16.928571,8.677143,20.6,8.82
13.787418,-0.759927,-0.84415,-0.848843,-0.467133,-0.846129,-0.696409,-0.57035,-0.758971,-0.52553,-0.735011
475.4016,9.750109,9.745935,9.73514,9.74659,9.747145,9.754603,9.751676,9.747692,9.749484,9.74603
14.594231,10.154286,5.94,5.951429,30.114286,5.642857,12.245714,19.802857,10.06,23.994286,10.131429
523.032,-0.733402,-0.842642,-0.836188,-0.468479,-0.844321,-0.712768,-0.558858,-0.76098,-0.52146,-0.767457
15.400429,10.558666,10.555365,10.541454,10.554516,10.555962,10.561913,10.562108,10.556886,10.561017,10.554624
571.976,11.571429,6.854286,6.9,34.862857,6.431429,13.974286,22.851429,11.628571,27.711429,11.568571
16.205924,-0.762393,-0.832729,-0.826881,-0.440471,-0.854953,-0.714241,-0.56095,-0.742731,-0.506085,-0.758909
622.104,11.36589,11.365913,11.349081,11.363529,11.363437,11.367873,11.372491,11.363707,11.374128,11.362853
17.010622,13.271429,7.911429,8.008571,39.828571,7.362857,15.982857,26,13.102857,31.58,13.228571
673.288,-0.729338,-0.815899,-0.805895,-0.44421,-0.837159,-0.682719,-0.566754,-0.770302,-0.513486,-0.734124
17.814422,12.174526,12.176048,12.157058,12.173052,12.169622,12.173325,12.181598,12.169225,12.187786,12.171675
725.4016,14.954286,9.04,9.065714,44.988571,8.371429,17.951429,29.197143,14.728571,35.668571,14.948571
18.617212,-0.74307,-0.809613,-0.824635,-0.4477,-0.830516,-0.705112,-0.581837,-0.757533,-0.505523,-0.735001
778.32,12.983547,12.985337,12.965392,12.982441,12.976592,12.979012,12.989203,12.974725,13.000615,12.981559
19.418873,16.657143,10.228571,10.214286,50.222857,9.388571,19.908571,32.605714,16.374286,39.931429,16.765714
831.92,-0.749851,-0.809747,-0.815572,-0.461488,-0.83642,-0.717555,-0.570223,-0.762328,-0.50291,-0.734215
20.219269,13.790377,13.795141,13.774002,13.790506,13.783002,13.78481,13.796301,13.780678,13.811163,13.789864
886.08,18.434286,11.371429,11.417143,55.968571,10.408571,21.954286,36.217143,18.142857,44.297143,18.597143
21.018253,-0.749793,-0.824035,-0.813159,-0.426539,-0.842273,-0.716279,-0.563604,-0.753132,-0.516838,-0.740485
940.68,14.593588,14.606469,14.583813,14.594925,14.58785,14.591245,14.60114,14.589308,14.620053,14.595945
21.81566,20.305714,12.64,12.614286,61.565714,11.505714,24.02,39.862857,19.894286,48.725714,20.511429
995.6016,-0.745616,-0.809787,-0.819371,-0.460828,-0.834713,-0.720083,-0.564723,-0.762289,-0.51936,-0.735536
22.611307,15.394987,15.417172,15.392307,15.39656,15.393006,15.397039,15.404605,15.398575,15.427281,15.40123
